id,date,year,cassava_price,corn_price,rice_price
1,15/1/2014,2014,12.6,75.3,11.7545
2,15/2/2014,2014,12.95,84.4,11.9553
3,15/3/2014,2014,13.25,87.3,10.8833
4,15/4/2014,2014,13.25,92.3,10.3111
5,15/5/2014,2014,13.25,93.4,10.2
6,15/6/2014,2014,13.1,100.6,10.7738
7,15/7/2014,2014,12.9,103.1,11.2262
8,15/8/2014,2014,12.85,97.9,11.6711
9,15/9/2014,2014,13.15,87.7,11.5909
10,15/10/2014,2014,13.15,82.8,11.6909
11,15/11/2014,2014,13.125,90.9,11.4675
12,15/12/2014,2014,13.025,92.7,11.485
13,15/1/2015,2015,12.9,94.6,11.49
14,15/2/2015,2015,12.9,93.8,11.35
15,15/3/2015,2015,13.1,93.8,11.1119
16,15/4/2015,2015,13.35,95.2,10.8556
17,15/5/2015,2015,13.475,94.2,10.85
18,15/6/2015,2015,13.75,99.6,10.7738
19,15/7/2015,2015,14.125,106.3,11.3214
20,15/8/2015,2015,14.125,102.1,11.25
21,15/9/2015,2015,13.9,91.5,10.9409
22,15/10/2015,2015,13.75,86,11.4214
23,15/11/2015,2015,12.95,86.5,11.3881
24,15/12/2015,2015,12.4,84.2,11.185
25,15/1/2016,2016,12,88.6,11.485
26,15/2/2016,2016,11.9,86.3,11.61
27,15/3/2016,2016,12.2,82.8,11.55
28,15/4/2016,2016,12.45,83.4,11.7676
29,15/5/2016,2016,12.85,85.2,12.7167
30,15/6/2016,2016,12.75,94.2,12.9091
31,15/7/2016,2016,12.2,91.6,12.95
32,15/8/2016,2016,11.275,85.7,12.227
33,15/9/2016,2016,10.15,80.3,11.5864
34,15/10/2016,2016,9.9,80.3,11.24
35,15/11/2016,2016,10.3,80.3,10.8909
36,15/12/2016,2016,10.625,80.3,11.415
37,15/1/2017,2017,10.4,80.3,11.51
38,15/2/2017,2017,10.45,80.3,11.1342
39,15/3/2017,2017,10.6,80.1,11.022
40,15/4/2017,2017,10.5,79.6,11.2125
41,15/5/2017,2017,10.4,79.4,12.1024
42,15/6/2017,2017,10.4,81.7,13.2227
43,15/7/2017,2017,10.4,83.9,11.8868
44,15/8/2017,2017,10.4,82.8,10.7136
45,15/9/2017,2017,10.65,80,10.8929
46,15/10/2017,2017,11.275,79.4,10.9237
47,15/11/2017,2017,12.6,81.8,10.9132
48,15/12/2017,2017,13.1,91.2,10.7868
49,15/1/2018,2018,13.4,95.9,11.3786
50,15/2/2018,2018,14.05,97.1,10.98
51,15/3/2018,2018,15.425,102.9,11.1548
52,15/4/2018,2018,16.25,105,11.9971
53,15/5/2018,2018,16.5,103.9,12.1071
54,15/6/2018,2018,15.7,104,11.5595
55,15/7/2018,2018,15.1,93.4,10.95
56,15/8/2018,2018,15.1,85.8,10.9955
57,15/9/2018,2018,15.35,86.5,10.95
58,15/10/2018,2018,15.35,96.2,11.1024
59,15/11/2018,2018,14.8,101,11.05
60,15/12/2018,2018,14.1,100.2,11.05
61,15/1/2019,2019,13.8,98.9,10.9182
62,15/2/2019,2019,13.7,94.9,10.7132
63,15/3/2019,2019,13.725,90.9,10.65
64,15/4/2019,2019,13.75,89.2,11.056
65,15/5/2019,2019,13.45,88,10.95
66,15/6/2019,2019,13.45,89.8,10.9447
