year,mean surface temperature
1901,26.59
1902,26.52
1903,26.19
1904,26.04
1905,27.1
1906,27.16
1907,26.22
1908,26.29
1909,26.32
1910,26.14
1911,26.66
1912,26.45
1913,26.21
1914,26.38
1915,26.21
1916,25.97
1917,25.94
1918,26.3
1919,26.57
1920,26.35
1921,26.12
1922,26.31
1923,26.13
1924,26.28
1925,26.09
1926,26.57
1927,26.25
1928,26.39
1929,26.39
1930,26.37
1931,26.69
1932,26.48
1933,26.54
1934,26.3
1935,26.79
1936,26.42
1937,26.52
1938,26
1939,25.97
1940,26.4
1941,27.22
1942,26.44
1943,26.01
1944,26.4
1945,26.42
1946,26.57
1947,26.75
1948,26.34
1949,26.37
1950,26.18
1951,26.25
1952,26.23
1953,26.24
1954,26.19
1955,25.68
1956,25.69
1957,26.4
1958,26.43
1959,26.53
1960,26.56
1961,26.23
1962,26.08
1963,26.07
1964,26.14
1965,26.28
1966,26.75
1967,26.12
1968,26.43
1969,26.56
1970,26.33
1971,25.72
1972,26.46
1973,26.47
1974,25.99
1975,26.21
1976,26.11
1977,26.36
1978,26.67
1979,27.05
1980,26.74
1981,25.97
1982,26.06
1983,26.4
1984,26.11
1985,26.19
1986,26.14
1987,26.97
1988,26.73
1989,26.73
1990,27.04
1991,27.11
1992,26.72
1993,26.74
1994,26.81
1995,26.7
1996,26.32
1997,26.86
1998,27.5
1999,26.3
2000,26.53
2001,26.71
2002,26.8
2003,26.71
2004,26.64
2005,26.85
2006,26.74
2007,26.64
2008,26.29
2009,26.68
2010,27.32
2011,26.27
2012,27.16
2013,26.8
2014,26.9
2015,27.3
2016,27.41
2017,26.93
2018,26.92
2019,27.49
2020,27.42
2021,26.9
2022,26.78
