year,precipitation
1901,1597.72
1902,1509.18
1903,1531.85
1904,1569.1
1905,1615.15
1906,1520.51
1907,1551.04
1908,1753.55
1909,1621.64
1910,1738.86
1911,1370.17
1912,1549.94
1913,1532.21
1914,1546.09
1915,1646.18
1916,1704.36
1917,1676.44
1918,1481.33
1919,1433.69
1920,1461.19
1921,1551.08
1922,1518.92
1923,1590.72
1924,1598.21
1925,1497.53
1926,1660.46
1927,1624.29
1928,1464.94
1929,1413.11
1930,1451.65
1931,1443.68
1932,1551.57
1933,1561.62
1934,1664.87
1935,1765.89
1936,1427.96
1937,1555.89
1938,1796.82
1939,1541.27
1940,1358.86
1941,1523.13
1942,1882.74
1943,1564.65
1944,1592.61
1945,1670.48
1946,1527.84
1947,1572.14
1948,1651.66
1949,1732.46
1950,1716.47
1951,1784.84
1952,1658.73
1953,1798.71
1954,1577.97
1955,1596.38
1956,1752.64
1957,1579.12
1958,1483.59
1959,1628.95
1960,1553.6
1961,1740.1
1962,1586.14
1963,1664.81
1964,1689.46
1965,1600.65
1966,1762.56
1967,1455.12
1968,1472.85
1969,1639.69
1970,1867.78
1971,1642.87
1972,1555.46
1973,1589.83
1974,1681.47
1975,1726.68
1976,1598.93
1977,1378.06
1978,1623.1
1979,1294.04
1980,1669.85
1981,1553.21
1982,1504.89
1983,1632.68
1984,1504.35
1985,1539.99
1986,1497.08
1987,1494.28
1988,1744.1
1989,1419.78
1990,1529.3
1991,1425.79
1992,1370.1
1993,1330.24
1994,1653.44
1995,1669.6
1996,1754.71
1997,1390.14
1998,1520.52
1999,1771.63
2000,1760.17
2001,1593.13
2002,1645.98
2003,1539.52
2004,1438.8
2005,1581.45
2006,1714.52
2007,1662.52
2008,1712.79
2009,1638.83
2010,1637.71
2011,1990.16
2012,1538.85
2013,1760.87
2014,1472.06
2015,1420.21
2016,1600.27
2017,1985.24
2018,1573.64
2019,1308.5
2020,1541.5
2021,1631.11
2022,2066.47
