id,Food type,date,price,year
1,Cassava,15/1/2014,12.6,2014
2,Cassava,15/2/2014,12.95,2014
3,Cassava,15/3/2014,13.25,2014
4,Cassava,15/4/2014,13.25,2014
5,Cassava,15/5/2014,13.25,2014
6,Cassava,15/6/2014,13.1,2014
7,Cassava,15/7/2014,12.9,2014
8,Cassava,15/8/2014,12.85,2014
9,Cassava,15/9/2014,13.15,2014
10,Cassava,15/10/2014,13.15,2014
11,Cassava,15/11/2014,13.125,2014
12,Cassava,15/12/2014,13.025,2014
13,Cassava,15/1/2015,12.9,2015
14,Cassava,15/2/2015,12.9,2015
15,Cassava,15/3/2015,13.1,2015
16,Cassava,15/4/2015,13.35,2015
17,Cassava,15/5/2015,13.475,2015
18,Cassava,15/6/2015,13.75,2015
19,Cassava,15/7/2015,14.125,2015
20,Cassava,15/8/2015,14.125,2015
21,Cassava,15/9/2015,13.9,2015
22,Cassava,15/10/2015,13.75,2015
23,Cassava,15/11/2015,12.95,2015
24,Cassava,15/12/2015,12.4,2015
25,Cassava,15/1/2016,12,2016
26,Cassava,15/2/2016,11.9,2016
27,Cassava,15/3/2016,12.2,2016
28,Cassava,15/4/2016,12.45,2016
29,Cassava,15/5/2016,12.85,2016
30,Cassava,15/6/2016,12.75,2016
31,Cassava,15/7/2016,12.2,2016
32,Cassava,15/8/2016,11.275,2016
33,Cassava,15/9/2016,10.15,2016
34,Cassava,15/10/2016,9.9,2016
35,Cassava,15/11/2016,10.3,2016
36,Cassava,15/12/2016,10.625,2016
37,Cassava,15/1/2017,10.4,2017
38,Cassava,15/2/2017,10.45,2017
39,Cassava,15/3/2017,10.6,2017
40,Cassava,15/4/2017,10.5,2017
41,Cassava,15/5/2017,10.4,2017
42,Cassava,15/6/2017,10.4,2017
43,Cassava,15/7/2017,10.4,2017
44,Cassava,15/8/2017,10.4,2017
45,Cassava,15/9/2017,10.65,2017
46,Cassava,15/10/2017,11.275,2017
47,Cassava,15/11/2017,12.6,2017
48,Cassava,15/12/2017,13.1,2017
49,Cassava,15/1/2018,13.4,2018
50,Cassava,15/2/2018,14.05,2018
51,Cassava,15/3/2018,15.425,2018
52,Cassava,15/4/2018,16.25,2018
53,Cassava,15/5/2018,16.5,2018
54,Cassava,15/6/2018,15.7,2018
55,Cassava,15/7/2018,15.1,2018
56,Cassava,15/8/2018,15.1,2018
57,Cassava,15/9/2018,15.35,2018
58,Cassava,15/10/2018,15.35,2018
59,Cassava,15/11/2018,14.8,2018
60,Cassava,15/12/2018,14.1,2018
61,Cassava,15/1/2019,13.8,2019
62,Cassava,15/2/2019,13.7,2019
63,Cassava,15/3/2019,13.725,2019
64,Cassava,15/4/2019,13.75,2019
65,Cassava,15/5/2019,13.45,2019
66,Cassava,15/6/2019,13.45,
67,Maize,15/1/2014,75.3,2014
68,Maize,15/2/2014,84.4,2014
